date,time,order_id,symbol,side,qty,price,total,fees,type,status,initiated_by,trigger_basis,trigger_detail,pnl
06-11,,40,8210,BUY,1,191.7,191.7,0.11,LIMIT,FILLED,derayah-direct,pick_entry,,
06-11,,?,8210,BUY,1,191.7,191.7,0.11,LIMIT,REJECTED,auto_buy,pick_entry,,
06-11,,?,4325,BUY,9,16.6,149.4,0.09,LIMIT,REJECTED,auto_buy,pick_entry,,
06-11,,42,4200,BUY,1,118.4,118.4,0.07,LIMIT,FILLED,derayah-direct,pick_entry,,
06-11,,?,4200,BUY,1,118.4,118.4,0.07,LIMIT,REJECTED,auto_buy,pick_entry,,
06-11,,41,4325,BUY,9,16.6,149.4,0.09,LIMIT,FILLED,derayah-direct,pick_entry,,
06-11,,43,4325,SELL,9,16.5,148.5,0.09,LIMIT,FILLED,derayah-direct,target_reached,,
06-11,,?,4325,SELL,9,0.0,0.0,0.0,MARKET,REJECTED,auto_sell,target_reached,,
06-11,,44,4200,SELL,1,117.8,117.8,0.07,LIMIT,FILLED,derayah-direct,target_reached,,
06-11,,?,4200,SELL,1,0.0,0.0,0.0,MARKET,REJECTED,auto_sell,target_reached,,
06-11,,45,8210,SELL,1,191.4,191.4,0.11,LIMIT,FILLED,derayah-direct,target_reached,,
06-11,,?,8210,SELL,1,0.0,0.0,0.0,MARKET,REJECTED,auto_sell,target_reached,,
06-11,,46,4325,BUY,6,16.54,99.24,0.06,LIMIT,FILLED,derayah-direct,pick_entry,,
06-11,,?,4325,BUY,6,16.54,99.24,0.06,LIMIT,REJECTED,auto_buy,pick_entry,,
06-11,,TEST_TRIGGER_002,4325,SELL,9,16.5,148.5,0.09,MARKET,FILLED,auto_sell,target_reached,,
06-11,,47,4325,SELL,3,16.81,50.43,0.03,LIMIT,FILLED,derayah-direct,target_reached,,
06-11,,?,4325,SELL,3,0.0,0.0,0.0,MARKET,REJECTED,auto_sell,target_reached,,
06-11,,48,4325,SELL,1,16.76,16.76,0.01,LIMIT,FILLED,derayah-direct,target_reached,,
06-11,,?,4325,SELL,1,0.0,0.0,0.0,MARKET,REJECTED,auto_sell,target_reached,,
06-11,,49,4325,SELL,1,16.79,16.79,0.01,LIMIT,FILLED,derayah-direct,target_reached,,
06-11,,50,4200,BUY,1,119.0,119.0,0.07,LIMIT,FILLED,derayah-direct,pick_entry,,
06-11,,?,4200,BUY,1,119.0,119.0,0.07,LIMIT,REJECTED,auto_buy,pick_entry,,
06-11,,51,4325,SELL,1,16.78,16.78,0.01,LIMIT,FILLED,derayah-direct,target_reached,,
06-11,,52,4200,SELL,1,117.7,117.7,0.07,LIMIT,FILLED,derayah-direct,target_reached,,
06-11,,?,4325,BUY,11,16.82,185.02,0.11,LIMIT,REJECTED,auto_buy,pick_entry,,
06-11,,53,4325,BUY,11,16.82,185.02,0.11,LIMIT,FILLED,derayah-direct,pick_entry,,
06-11,,54,4325,SELL,11,16.73,184.03,0.11,LIMIT,FILLED,derayah-direct,target_reached,,
06-11,,?,4325,SELL,11,0.0,0.0,0.0,MARKET,REJECTED,auto_sell,target_reached,,
06-11,21:14,TEST_001,4325,BUY,5,16.5,82.5,0.05,LIMIT,FILLED,bookkeeper_test,TEST_BASIS,Test detail,
06-14,10:00,40,8210,BUY,1,191.7,191.7,0.11,LIMIT,FILLED,derayah-direct,pick_entry,,
06-14,10:00,41,4325,BUY,9,16.6,149.4,0.09,LIMIT,FILLED,derayah-direct,pick_entry,,
06-14,10:00,42,4200,BUY,1,118.4,118.4,0.07,LIMIT,FILLED,derayah-direct,pick_entry,,
06-14,10:00,43,4325,SELL,9,16.5,148.5,0.09,LIMIT,FILLED,derayah-direct,target_reached,,
06-14,10:00,44,4200,SELL,1,117.8,117.8,0.07,LIMIT,FILLED,derayah-direct,target_reached,,
06-14,10:00,45,8210,SELL,1,191.4,191.4,0.11,LIMIT,FILLED,derayah-direct,target_reached,,
06-14,10:00,46,4325,BUY,6,16.54,99.24,0.06,LIMIT,FILLED,derayah-direct,pick_entry,,
06-14,10:00,47,4325,SELL,3,16.81,50.43,0.03,LIMIT,FILLED,derayah-direct,target_reached,,
06-14,10:00,48,4325,SELL,1,16.76,16.76,0.01,LIMIT,FILLED,derayah-direct,target_reached,,
06-14,10:00,49,4325,SELL,1,16.79,16.79,0.01,LIMIT,FILLED,derayah-direct,target_reached,,
06-14,10:00,50,4200,BUY,1,119.0,119.0,0.07,LIMIT,FILLED,derayah-direct,pick_entry,,
06-14,10:00,51,4325,SELL,1,16.78,16.78,0.01,LIMIT,FILLED,derayah-direct,target_reached,,
06-14,10:00,52,4200,SELL,1,117.7,117.7,0.07,LIMIT,FILLED,derayah-direct,target_reached,,
06-14,10:00,53,4325,BUY,11,16.82,185.02,0.11,LIMIT,FILLED,derayah-direct,pick_entry,,
06-14,10:00,54,4325,SELL,11,16.73,184.03,0.11,LIMIT,FILLED,derayah-direct,target_reached,,
06-14,10:00,?,1320,BUY,5,56.8,284.0,0.16,LIMIT,REJECTED,auto_buy,pick_entry,Zone hold: price=56.80 vwap=56.03 zone=55.27-57.42,
06-14,10:05,55,1320,BUY,5,56.8,284.0,0.16,LIMIT,FILLED,derayah-direct,pick_entry,,
06-14,10:05,?,5110,BUY,17,17.03,289.51,0.17,LIMIT,REJECTED,auto_buy,pick_entry,Zone hold: price=17.03 vwap=16.74 zone=16.74-17.25,
06-14,10:20,56,5110,BUY,17,17.03,289.51,0.17,LIMIT,FILLED,derayah-direct,pick_entry,,
06-14,10:20,57,1320,SELL,5,56.4,282.0,0.16,LIMIT,FILLED,derayah-direct,vwap_breakdown,,
06-14,10:20,?,1320,SELL,5,0.0,0.0,0.0,MARKET,REJECTED,auto_sell,vwap_breakdown,VWAP breakdown: price=56.40 vwap=56.93 gain=0.0% held=15min recovery_score=0.50,
06-14,10:25,58,5110,SELL,17,16.96,288.32,0.17,LIMIT,FILLED,derayah-direct,vwap_breakdown,,
06-14,10:25,?,5110,SELL,17,0.0,0.0,0.0,MARKET,REJECTED,auto_sell,vwap_breakdown,VWAP breakdown: price=16.96 vwap=17.04 gain=0.0% held=15min recovery_score=0.00,
06-14,11:01,59,1320,BUY,5,56.3,281.5,0.16,LIMIT,FILLED,derayah-direct,pick_entry,,
06-14,11:01,?,1320,BUY,5,56.3,281.5,0.16,LIMIT,REJECTED,auto_buy,pick_entry,Zone hold: price=56.30 vwap=56.46 zone=55.27-57.42,
06-14,11:16,60,1320,SELL,5,56.3,281.5,0.16,LIMIT,FILLED,derayah-direct,vwap_breakdown,,
06-14,12:21,61,5110,BUY,17,16.95,288.15,0.17,LIMIT,FILLED,derayah-direct,pick_entry,,
06-14,12:21,?,5110,BUY,17,16.95,288.15,0.17,LIMIT,REJECTED,auto_buy,pick_entry,Zone hold: price=16.95 vwap=16.95 zone=16.74-17.25,
06-14,12:36,62,5110,SELL,17,16.91,287.47,0.17,LIMIT,FILLED,derayah-direct,vwap_breakdown,,
06-14,13:17,63,1320,BUY,5,56.3,281.5,0.16,LIMIT,FILLED,derayah-direct,pick_entry,,
06-14,13:17,64,1320,SELL,5,56.45,282.25,0.16,LIMIT,FILLED,derayah-direct,vwap_breakdown,,
06-14,13:22,?,5110,BUY,12,17.04,204.48,0.12,LIMIT,REJECTED,auto_buy,pick_entry,Zone hold: price=17.04 vwap=16.97 zone=16.74-17.25,
06-14,13:32,65,5110,BUY,12,17.04,204.48,0.12,LIMIT,FILLED,derayah-direct,pick_entry,,
06-14,15:00,66,5110,SELL,12,17.0,204.0,0.12,LIMIT,FILLED,derayah-direct,target_reached,,
06-14,15:23,55,1320,BUY,5,56.8,284.0,0.16,LIMIT,FILLED,derayah-direct,pick_entry,,
06-14,15:23,56,5110,BUY,17,17.03,289.51,0.17,LIMIT,FILLED,derayah-direct,pick_entry,,
06-14,15:23,57,1320,SELL,5,56.4,282.0,0.16,LIMIT,FILLED,derayah-direct,vwap_breakdown,,
06-14,15:23,58,5110,SELL,17,16.96,288.32,0.17,LIMIT,FILLED,derayah-direct,vwap_breakdown,,
06-14,15:23,59,1320,BUY,5,56.3,281.5,0.16,LIMIT,FILLED,derayah-direct,pick_entry,,
06-14,15:23,60,1320,SELL,5,56.3,281.5,0.16,LIMIT,FILLED,derayah-direct,vwap_breakdown,,
06-14,15:23,61,5110,BUY,17,16.95,288.15,0.17,LIMIT,FILLED,derayah-direct,pick_entry,,
06-14,15:23,62,5110,SELL,17,16.91,287.47,0.17,LIMIT,FILLED,derayah-direct,vwap_breakdown,,
06-14,15:23,63,1320,BUY,5,56.3,281.5,0.16,LIMIT,FILLED,derayah-direct,pick_entry,,
06-14,15:23,64,1320,SELL,5,56.45,282.25,0.16,LIMIT,FILLED,derayah-direct,vwap_breakdown,,
06-14,15:23,65,5110,BUY,12,17.04,204.48,0.12,LIMIT,FILLED,auto_buy,pick_entry,,
06-14,15:23,66,5110,SELL,12,17.0,204.0,0.12,LIMIT,FILLED,derayah-direct,target_reached,,
06-14,15:23,40,8210,BUY,1,191.7,191.7,0.11,LIMIT,FILLED,derayah-direct,pick_entry,,
06-14,15:23,41,4325,BUY,9,16.6,149.4,0.09,LIMIT,FILLED,derayah-direct,pick_entry,,
06-14,15:23,42,4200,BUY,1,118.4,118.4,0.07,LIMIT,FILLED,derayah-direct,pick_entry,,
06-14,15:23,43,4325,SELL,9,16.5,148.5,0.09,LIMIT,FILLED,derayah-direct,target_reached,,
06-14,15:23,44,4200,SELL,1,117.8,117.8,0.07,LIMIT,FILLED,derayah-direct,target_reached,,
06-14,15:23,45,8210,SELL,1,191.4,191.4,0.11,LIMIT,FILLED,derayah-direct,target_reached,,
06-14,15:23,46,4325,BUY,6,16.54,99.24,0.06,LIMIT,FILLED,derayah-direct,pick_entry,,
06-14,15:23,47,4325,SELL,3,16.81,50.43,0.03,LIMIT,FILLED,derayah-direct,target_reached,,
06-14,15:23,48,4325,SELL,1,16.76,16.76,0.01,LIMIT,FILLED,derayah-direct,target_reached,,
06-14,15:23,49,4325,SELL,1,16.79,16.79,0.01,LIMIT,FILLED,derayah-direct,target_reached,,
06-14,15:23,50,4200,BUY,1,119.0,119.0,0.07,LIMIT,FILLED,derayah-direct,pick_entry,,
06-14,15:23,51,4325,SELL,1,16.78,16.78,0.01,LIMIT,FILLED,derayah-direct,target_reached,,
06-14,15:23,52,4200,SELL,1,117.7,117.7,0.07,LIMIT,FILLED,derayah-direct,target_reached,,
06-14,15:23,53,4325,BUY,11,16.82,185.02,0.11,LIMIT,FILLED,derayah-direct,pick_entry,,
06-14,15:23,54,4325,SELL,11,16.73,184.03,0.11,LIMIT,FILLED,derayah-direct,target_reached,,
06-14,15:25,55,1320,BUY,5,56.8,284.0,0.16,LIMIT,FILLED,derayah-direct,pick_entry,,
06-14,15:25,56,5110,BUY,17,17.03,289.51,0.17,LIMIT,FILLED,derayah-direct,pick_entry,,
06-14,15:25,57,1320,SELL,5,56.4,282.0,0.16,LIMIT,FILLED,derayah-direct,vwap_breakdown,,
06-14,15:25,58,5110,SELL,17,16.96,288.32,0.17,LIMIT,FILLED,derayah-direct,vwap_breakdown,,
06-14,15:25,59,1320,BUY,5,56.3,281.5,0.16,LIMIT,FILLED,derayah-direct,pick_entry,,
06-14,15:25,60,1320,SELL,5,56.3,281.5,0.16,LIMIT,FILLED,derayah-direct,vwap_breakdown,,
06-14,15:25,61,5110,BUY,17,16.95,288.15,0.17,LIMIT,FILLED,derayah-direct,pick_entry,,
06-14,15:25,62,5110,SELL,17,16.91,287.47,0.17,LIMIT,FILLED,derayah-direct,vwap_breakdown,,
06-14,15:25,63,1320,BUY,5,56.3,281.5,0.16,LIMIT,FILLED,derayah-direct,pick_entry,,
06-14,15:25,64,1320,SELL,5,56.45,282.25,0.16,LIMIT,FILLED,derayah-direct,vwap_breakdown,,
06-14,15:25,65,5110,BUY,12,17.04,204.48,0.12,LIMIT,FILLED,auto_buy,pick_entry,,
06-14,15:25,66,5110,SELL,12,17.0,204.0,0.12,LIMIT,FILLED,derayah-direct,target_reached,,
06-14,15:25,40,8210,BUY,1,191.7,191.7,0.11,LIMIT,FILLED,derayah-direct,pick_entry,,
06-14,15:25,41,4325,BUY,9,16.6,149.4,0.09,LIMIT,FILLED,derayah-direct,pick_entry,,
06-14,15:25,42,4200,BUY,1,118.4,118.4,0.07,LIMIT,FILLED,derayah-direct,pick_entry,,
06-14,15:25,43,4325,SELL,9,16.5,148.5,0.09,LIMIT,FILLED,derayah-direct,target_reached,,
06-14,15:25,44,4200,SELL,1,117.8,117.8,0.07,LIMIT,FILLED,derayah-direct,target_reached,,
06-14,15:25,45,8210,SELL,1,191.4,191.4,0.11,LIMIT,FILLED,derayah-direct,target_reached,,
06-14,15:25,46,4325,BUY,6,16.54,99.24,0.06,LIMIT,FILLED,derayah-direct,pick_entry,,
06-14,15:25,47,4325,SELL,3,16.81,50.43,0.03,LIMIT,FILLED,derayah-direct,target_reached,,
06-14,15:25,48,4325,SELL,1,16.76,16.76,0.01,LIMIT,FILLED,derayah-direct,target_reached,,
06-14,15:25,49,4325,SELL,1,16.79,16.79,0.01,LIMIT,FILLED,derayah-direct,target_reached,,
06-14,15:25,50,4200,BUY,1,119.0,119.0,0.07,LIMIT,FILLED,derayah-direct,pick_entry,,
06-14,15:25,51,4325,SELL,1,16.78,16.78,0.01,LIMIT,FILLED,derayah-direct,target_reached,,
06-14,15:25,52,4200,SELL,1,117.7,117.7,0.07,LIMIT,FILLED,derayah-direct,target_reached,,
06-14,15:25,53,4325,BUY,11,16.82,185.02,0.11,LIMIT,FILLED,derayah-direct,pick_entry,,
06-14,15:25,54,4325,SELL,11,16.73,184.03,0.11,LIMIT,FILLED,derayah-direct,target_reached,,
